name,rating,price,zip_code,categories,cuisine,borough
Charm Bar & Restaurant,4.0,$$$,11217,"Caribbean, New American, Cocktail Bars",American,"Brooklyn, NY"
Lincoln Station,4.0,$$,11238,"American, Cafes",American,"Brooklyn, NY"
Concrete,4.5,$$,11206,"Bars, Breakfast & Brunch, Sicilian",American,"Brooklyn, NY"
Santo Bruklin,4.5,$$$,11231,"Brazilian, Breakfast & Brunch, Cocktail Bars",American,"Brooklyn, NY"
Otis,5.0,$$$,11206,"New American, Cocktail Bars",American,"Brooklyn, NY"
Emily,4.0,$$,11238,American,American,"Brooklyn, NY"
Sunday in Brooklyn,4.0,$$,11249,"New American, Breakfast & Brunch, Cocktail Bars",American,"Brooklyn, NY"
Pomo,5.0,Not Available,11201,"Cocktail Bars, Mexican",American,"Brooklyn, NY"
Westville,5.0,Not Available,11211,"Salad, New American, Cocktail Bars",American,"Brooklyn, NY"
Mayfield,4.0,$$,11238,"New American, Breakfast & Brunch",American,"Brooklyn, NY"
Bonnie's Grill,4.0,Not Available,11215,"Chicken Wings, Burgers, American",American,"Brooklyn, NY"
Ingas Bar,4.0,Not Available,11201,New American,American,"Brooklyn, NY"
Walter's,4.0,$$,11217,"New American, Cocktail Bars",American,"Brooklyn, NY"
Ruthie's,4.0,Not Available,11231,"New American, Salad, Burgers",American,"Brooklyn, NY"
Sweet Chick,4.0,$$,11217,"Breakfast & Brunch, Southern, Chicken Shop",American,"Brooklyn, NY"
Buttermilk Channel,4.0,$$,11231,Breakfast & Brunch,American,"Brooklyn, NY"
Leslie's Kitchen,4.5,Not Available,11237,"New American, Burgers, Mexican",American,"Brooklyn, NY"
no. 7,4.0,Not Available,11238,New American,American,"Brooklyn, NY"
Sailor,4.5,Not Available,11205,"New American, Wine Bars",American,"Brooklyn, NY"
Black Oak on Fifth,4.0,Not Available,11217,"New American, Italian, Cocktail Bars",American,"Brooklyn, NY"
Peaches HotHouse,4.0,$$,11216,"Southern, American, Bars",American,"Brooklyn, NY"
Hart's Restaurant,4.5,$$$,11238,New American,American,"Brooklyn, NY"
Mom's Kitchen & Bar,4.5,$$,10019,"Comfort Food, Breakfast & Brunch, Bars",American,"Brooklyn, NY"
J&A Burgers N Shakes,3.5,$,11237,"Burgers, Wraps",American,"Brooklyn, NY"
Brooklyn Burgers & Beer,4.0,$$,11215,"Burgers, Beer Bar, Cocktail Bars",American,"Brooklyn, NY"
Sea Wolf - Bushwick,4.0,$$,11237,"Cocktail Bars, Seafood, American",American,"Brooklyn, NY"
Lamonte,4.0,Not Available,11211,"New American, Cocktail Bars",American,"Brooklyn, NY"
Purbird,4.0,$$,11217,"New American, Chicken Shop",American,"Brooklyn, NY"
OTB,4.5,$$,11211,"New American, Cocktail Bars, Gastropubs",American,"Brooklyn, NY"
Fat Rabbit,4.5,Not Available,11205,New American,American,"Brooklyn, NY"
Park Slope Ale House,4.5,Not Available,11215,"Pubs, American",American,"Brooklyn, NY"
St. Anselm,4.0,$$$,11211,"New American, Wine Bars, Steakhouses",American,"Brooklyn, NY"
Nura,4.5,Not Available,11222,New American,American,"Brooklyn, NY"
