,name,rating,price,zip_code,categories,cuisine,borough
80,Izakaya Fuku,4.5,2,11372,Japanese,Japanese,Queens
81,Raku,4.5,2,10003,"Japanese, Noodles",Japanese,Manhattan
82,Karasu,4.0,3,11217,"Japanese, Cocktail Bars",Japanese,Brooklyn
83,Ako,4.0,2,11211,"Sushi Bars, Japanese, Wine Bars",Japanese,Brooklyn
84,Sushi Yashin,4.0,2,11215,"Japanese, Sushi Bars",Japanese,Brooklyn
85,Izakaya Ajimi,4.5,2,11214,"Izakaya, Ramen",Japanese,Brooklyn
86,750 Myrtle Diner,4.5,2,11205,"Tapas Bars, Izakaya",Japanese,Brooklyn
87,Uotora,4.5,0,11216,"Japanese, Sushi Bars",Japanese,Brooklyn
88,Chuko,4.0,2,11238,"Asian Fusion, Ramen",Japanese,Brooklyn
89,Wasan Brooklyn,4.0,2,11217,Japanese,Japanese,Brooklyn
90,Geido,4.5,2,11217,"Japanese, Sushi Bars",Japanese,Brooklyn
91,Ki Sushi,4.5,2,11217,"Japanese, Sushi Bars",Japanese,Brooklyn
92,Gen,4.0,2,11238,"Japanese, Sushi Bars",Japanese,Brooklyn
93,ACRE,4.5,2,11222,"Breakfast & Brunch, Japanese, Coffee & Tea",Japanese,Brooklyn
94,Raku,4.5,2,10012,"Japanese, Noodles",Japanese,Manhattan
95,Nami Nori,4.5,3,11211,"Sushi Bars, Japanese, Gluten-Free",Japanese,Brooklyn
96,Ume Williamsburg,4.0,0,11249,Sushi Bars,Japanese,Brooklyn
97,Bushniwa,4.0,2,11206,"Japanese, Sushi Bars, Asian Fusion",Japanese,Brooklyn
98,1 OR 8,4.0,3,11205,"Japanese, Sushi Bars",Japanese,Brooklyn
99,Bozu,4.0,2,11211,"Japanese, Bars",Japanese,Brooklyn
100,Karazishi Botan,4.5,2,11231,Ramen,Japanese,Brooklyn
101,Ten Japanese Cuisine,4.0,2,11215,"Japanese, Sushi Bars",Japanese,Brooklyn
102,Yopparai,4.5,3,10002,Izakaya,Japanese,Manhattan
103,Benemon,4.5,2,10003,"Japanese, Tapas/Small Plates, Cocktail Bars",Japanese,Manhattan
104,Samurai Papa BS,4.0,2,11216,Ramen,Japanese,Brooklyn
105,Chavela's,4.0,2,11238,"Mexican, Bars",Mexican,Brooklyn
106,Chela Park Slope,4.5,2,11215,"Mexican, Cocktail Bars, Breakfast & Brunch",Mexican,Brooklyn
107,Cruz Del Sur,4.5,2,11238,"Tacos, Cocktail Bars",Mexican,Brooklyn
108,Taqueria Milear,4.0,1,11216,Mexican,Mexican,Brooklyn
109,Casa Azul,4.5,2,11215,"Mexican, Cocktail Bars",Mexican,Brooklyn
110,Calabrije's Margaritas & Tacos,4.0,2,11237,"Tacos, Cocktail Bars",Mexican,Brooklyn
111,Las Santas,4.0,2,11217,"Mexican, Cocktail Bars, Breakfast & Brunch",Mexican,Brooklyn
112,Taqueria El Patron Mexican Grill,3.5,3,11225,Mexican,Mexican,Brooklyn
113,Panchitas Place,4.5,2,11215,"Bars, Breakfast & Brunch, Mexican",Mexican,Brooklyn
114,Fonda Park Slope,4.0,3,11215,"Mexican, Salad, Breakfast & Brunch",Mexican,Brooklyn
115,Gordo's Cantina,4.0,2,11237,Mexican,Mexican,Brooklyn
116,Don Pancho Villa Restaurant,3.5,2,11211,"Tex-Mex, Mexican",Mexican,Brooklyn
117,Amaranto Mexican Restaurant,4.5,2,11237,Mexican,Mexican,Brooklyn
118,Tacombi,4.0,2,11217,Mexican,Mexican,Brooklyn
119,Mesa Coyoacan,4.0,2,11211,"Mexican, Bars",Mexican,Brooklyn
120,Nacho Macho Taco,4.5,1,11217,Mexican,Mexican,Brooklyn
121,Los Tres Chiflados,4.0,2,11226,Mexican,Mexican,Brooklyn
122,Tiny's Cantina,4.5,2,11217,"Mexican, Cocktail Bars",Mexican,Brooklyn
123,Tacombi,4.5,2,11211,Mexican,Mexican,Brooklyn
124,Miti Miti,4.0,2,11217,"Latin American, Mexican, Breakfast & Brunch",Mexican,Brooklyn
125,La Contenta,4.5,2,10002,"Mexican, Bars, Breakfast & Brunch",Mexican,Manhattan
126,Mesa Azteca,4.0,2,11237,Mexican,Mexican,Brooklyn
127,El Jeffe,4.5,2,11216,New Mexican Cuisine,Mexican,Brooklyn
128,Xixa,4.5,3,11211,"Mexican, Tapas/Small Plates, Cocktail Bars",Mexican,Brooklyn
129,Purepecha,4.5,2,11201,Mexican,Mexican,Brooklyn
130,Jajaja Mexicana,4.5,2,11249,"Mexican, Vegan, Cocktail Bars",Mexican,Brooklyn
131,Leyenda,4.0,2,11201,"Latin American, Mexican, Cocktail Bars",Mexican,Brooklyn
132,Bar Verde,4.5,2,10003,"Mexican, Vegan, Gluten-Free",Mexican,Manhattan
133,Oxomoco,4.0,3,11222,Mexican,Mexican,Brooklyn
134,Rosa Mexicano,3.5,2,10003,Mexican,Mexican,Manhattan
135,Nacho Macho Taco,4.0,2,11238,Mexican,Mexican,Brooklyn
136,Las Chelitas,4.5,2,11228,Mexican,Mexican,Brooklyn
137,Rosa Mexicano,3.5,2,10023,Mexican,Mexican,Manhattan
138,Jajaja Mexicana,4.5,2,10014,"Mexican, Vegan, Cocktail Bars",Mexican,Manhattan
139,Ho' Brah a Taco Joint,4.0,2,11209,"Mexican, Cocktail Bars, Hawaiian",Mexican,Brooklyn
140,Ital Kitchen,4.5,2,11225,"Vegetarian, Vegan",Kosher,Brooklyn
141,Traif,4.5,0,11211,"New American, Tapas/Small Plates",Kosher,Brooklyn
142,Izzy's Brooklyn Smokehouse,4.0,3,11213,"Barbeque, Kosher, Smokehouse",Kosher,Brooklyn
143,Bunna Cafe,4.5,2,11237,"Ethiopian, Vegan, African",Kosher,Brooklyn
144,T Fusion Steakhouse,4.0,3,11234,"Steakhouses, Kosher, Venues & Event Spaces",Kosher,Brooklyn
145,Miriam,4.0,2,11217,"Wine Bars, Mediterranean, Breakfast & Brunch",Kosher,Brooklyn
146,Bison & Bourbon,3.0,0,11215,"Kosher, Burgers, American",Kosher,Brooklyn
147,Reunion,4.5,2,11211,"Breakfast & Brunch, Middle Eastern, Cocktail Bars",Kosher,Brooklyn
148,ALENbi,3.5,0,11225,"Middle Eastern, Kosher",Kosher,Brooklyn
149,Yemen Cafe & Restaurant,4.5,2,11201,"Middle Eastern, Cafes, Soup",Kosher,Brooklyn
150,The Loft Steakhouse,4.5,3,11218,"Steakhouses, Kosher",Kosher,Brooklyn
151,David's Restaurant,4.5,2,11223,"Kosher, Middle Eastern",Kosher,Brooklyn
152,Milk & Honey Cafe,4.0,2,11230,"Coffee & Tea, Desserts, Breakfast & Brunch",Kosher,Brooklyn
153,David's Brisket House and Deli,4.0,2,11216,"Delis, Sandwiches, Burgers",Kosher,Brooklyn
154,12 Chairs Cafe,4.0,2,11249,"Middle Eastern, Breakfast & Brunch, Mediterranean",Kosher,Brooklyn
155,Bordeaux,4.5,3,11230,"Kosher, Steakhouses, New American",Kosher,Brooklyn
156,Patrizia's - Williamsburg,4.0,2,11249,"Pizza, Italian",Kosher,Brooklyn
157,Laser Wolf,4.5,3,11249,"Middle Eastern, Desserts, Cocktail Bars",Kosher,Brooklyn
158,19 Cleveland,4.0,2,10012,Mediterranean,Kosher,Manhattan
159,Orchidea,4.0,3,11219,"Kosher, New American",Kosher,Brooklyn
160,Luanne's Wild Ginger,4.5,2,11205,"Vegan, Kosher",Kosher,Brooklyn
161,Shalom Japan,4.0,3,11211,Japanese,Kosher,Brooklyn
162,Karczma,4.5,2,11222,Polish,Kosher,Brooklyn
163,Ravagh Persian Grill,4.0,2,10016,"Middle Eastern, Persian/Iranian, Mediterranean",Kosher,Manhattan
164,Boeuf & Bun,3.5,2,11213,Burgers,Kosher,Brooklyn
165,Holy Schnitzel,4.0,2,11223,"Kosher, Salad, Sandwiches",Kosher,Brooklyn
166,Mint,3.5,2,11223,"New American, Seafood, Kosher",Kosher,Brooklyn
167,Marani,4.5,2,11374,"Mediterranean, Kosher, Georgian",Kosher,Queens
168,Taste of Samarkand,4.5,2,11374,"Uzbek, Kosher",Kosher,Queens
169,Mike's Bistro,4.5,0,10022,"New American, Kosher, Bars",Kosher,Manhattan
170,Miznon,4.0,2,10011,"Mediterranean, Middle Eastern, Sandwiches",Kosher,Manhattan
171,Grill On Lee,3.5,2,11205,"Kosher, Chinese, Delis",Kosher,Brooklyn
172,Paulie Gee's,4.5,2,11222,Pizza,Kosher,Brooklyn
173,Bubby's Tribeca,4.0,2,10013,"American, Breakfast & Brunch, Sandwiches",Kosher,Manhattan
174,The River Café,4.0,0,11201,"New American, Wine Bars, Venues & Event Spaces",Kosher,Brooklyn
175,Trattoria L'incontro,4.5,3,11105,"Italian, Pizza, Salad",Italian,Queens
176,Tuscan Hills,4.0,2,11375,"Italian, Pizza, Wine Bars",Italian,Queens
177,Vite Vinosteria,4.5,2,11106,"Italian, Wine Bars",Italian,Queens
178,Park Side Restaurant,4.0,3,11368,Italian,Italian,Queens
179,Don Peppe,4.0,3,11420,"Italian, Desserts, Seafood",Italian,Queens
180,Bruno's Ristorante,4.5,2,11414,Italian,Italian,Queens
181,Trattoria 35,4.0,2,11361,"Pizza, Italian",Italian,Queens
182,Palermo Restaurant & Bar,4.5,2,11105,"Italian, Bars",Italian,Queens
183,Fuzi Pasta Co,4.5,2,11365,"Pasta Shops, Italian",Italian,Queens
184,Barosa,3.5,2,11374,"Italian, Seafood, Pizza",Italian,Queens
185,Il Poeta,4.0,2,11375,"Italian, Wine Bars",Italian,Queens
186,Portofino Ristorante,3.0,3,11375,"Italian, Salad, Soup",Italian,Queens
187,Vetro Restaurant & Lounge,4.5,3,11414,"Italian, Lounges, Venues & Event Spaces",Italian,Queens
188,Piatto,4.0,2,11101,"Pizza, Italian, Wine Bars",Italian,Queens
189,Da Andrea - Greenwich Village,4.5,2,10011,"Italian, Mediterranean, Breakfast & Brunch",Italian,Manhattan
190,Armondo's Italian Restaurant,4.5,3,11372,Italian,Italian,Queens
191,Joe's Restaurant,4.0,2,11385,Italian,Italian,Queens
192,La Vigna Restaurant,3.5,2,11375,Italian,Italian,Queens
193,Dee's Wood Fired Pizza & Kitchen,4.0,2,11375,"Pizza, Italian, American",Italian,Queens
194,Villaggio Ristorante Italian Bistro,4.0,2,11357,"Italian, Seafood, Salad",Italian,Queens
195,Olio e Più,4.5,2,10014,"Pizza, Italian, Cocktail Bars",Italian,Manhattan
196,Il Bacco Ristorante,3.5,3,11362,"Italian, Pizza, Wine Bars",Italian,Queens
197,Il Falco,4.5,3,11101,"Italian, Venues & Event Spaces, Wine Bars",Italian,Queens
198,Villa Erasmo,4.0,2,11379,Italian,Italian,Queens
199,Ammazzacaffè,4.5,2,11211,"Cocktail Bars, Italian, Wine Bars",Italian,Brooklyn
200,Macoletta Brick Oven Pizzeria,4.5,2,11102,"Pizza, Italian",Italian,Queens
201,Riviera Ristorante,4.5,2,11357,Italian,Italian,Queens
202,SoleLuna Restaurant,4.5,2,11104,"Cafes, Italian, Breakfast & Brunch",Italian,Queens
203,Via Trenta Osteria,4.0,2,11103,"Italian, Wine Bars",Italian,Queens
204,Acquista Trattoria,4.0,2,11366,"Pizza, Italian",Italian,Queens
205,Vesta,4.5,2,11102,"Italian, Wine Bars",Italian,Queens
206,Papazzio Restaurant,4.0,2,11361,"Italian, Jazz & Blues, Wine Bars",Italian,Queens
207,Piccola Cucina Uptown,4.5,3,10022,Sicilian,Italian,Manhattan
208,Antonio's Trattoria,4.5,2,10458,"Italian, Pizza, Desserts",Italian,The Bronx
209,Patrizia's Of Maspeth,4.0,2,11378,"Italian, Pizza, Salad",Italian,Queens
210,Uncle Peter's,4.0,2,11372,"Italian, Spanish, New American",Italian,Queens
211,IL Toscano Ristorante,4.0,3,11363,"Italian, Seafood",Italian,Queens
212,Forno Siciliano,4.0,2,11105,Italian,Italian,Queens
213,Bamonte's,4.0,2,11211,Italian,Italian,Brooklyn
214,Montesacro Pinseria Brooklyn,4.5,2,11211,"Italian, Pizza, Bars",Italian,Brooklyn
215,Tavern 157,4.5,2,11354,"Lounges, Steakhouses, New American",American,Queens
216,Luna's Kitchen & Bar,4.5,2,11372,"New American, Cocktail Bars, Breakfast & Brunch",American,Queens
217,The Shady Lady,4.0,2,11103,"Breakfast & Brunch, Bars, Comfort Food",American,Queens
218,Trestle,4.5,2,11106,"Cocktail Bars, New American, Breakfast & Brunch",American,Queens
219,The Pomeroy,4.5,2,11105,"New American, Bars",American,Queens
220,Forest Hills Station House,4.0,2,11375,"Gastropubs, Cocktail Bars, Beer Bar",American,Queens
221,The Lazy Cow,4.0,2,11361,"Gastropubs, New American, Cocktail Bars",American,Queens
222,Dinerbar,4.0,2,11374,"Diners, Wine Bars, American",American,Queens
223,Mom's Kitchen & Bar,4.0,2,11102,"Bars, American, Breakfast & Brunch",American,Queens
224,The Alcove,4.5,2,11104,"Gastropubs, Tapas Bars, Breakfast & Brunch",American,Queens
225,Oliver's Astoria,4.0,2,11103,"New American, Breakfast & Brunch, Cocktail Bars",American,Queens
226,The Beast Next Door,4.5,2,11101,"New American, Tapas/Small Plates, Wine Bars",American,Queens
227,The Queensboro,4.0,2,11372,"Gastropubs, New American, Breakfast & Brunch",American,Queens
228,Carla,4.5,2,11101,"New American, Burgers, Cocktail Bars",American,Queens
229,Prime Mēt Steakhouse,4.0,3,11354,"Steakhouses, Seafood, New American",American,Queens
230,The Bonnie,4.0,2,11105,"Gastropubs, New American, Breakfast & Brunch",American,Queens
231,Mom's Kitchen & Bar,4.5,2,10019,"Comfort Food, Breakfast & Brunch, Bars",American,Manhattan
232,The Highwater,4.0,2,11106,"New American, Tiki Bars, Breakfast & Brunch",American,Queens
233,Arcadia Bar & Kitchen,4.5,2,11102,"Cocktail Bars, New American, Tacos",American,Queens
234,Jackson's Eatery | Bar,4.5,2,11101,"Bars, Breakfast & Brunch, New American",American,Queens
235,The Cabin NYC,4.0,2,10009,"New American, Cocktail Bars, Breakfast & Brunch",American,Manhattan
236,The Brewery Bar & Kitchen,4.5,2,11377,"Sports Bars, American, Irish Pub",American,Queens
237,Veranda Restaurant & Cafe,4.0,2,11361,"Mediterranean, American, Greek",American,Queens
238,Rove,4.0,2,11375,"American, Gastropubs, Beer Bar",American,Queens
239,Fogo de Chão Brazilian Steakhouse,4.0,0,11373,"Brazilian, Seafood, Steakhouses",American,Queens
240,The Sweet Sap,4.0,2,11358,"New American, Korean, Cocktail Bars",American,Queens
241,White Radish,4.0,2,11375,"New American, Diners, Wine Bars",American,Queens
242,Otis,5.0,3,11206,"New American, Cocktail Bars",American,Brooklyn
243,THE HUNTRESS whiskey n' wings,4.0,2,11101,"Chicken Wings, Burgers, Cocktail Bars",American,Queens
244,Queens Bully,3.5,2,11375,"Gastropubs, Cocktail Bars, Breakfast & Brunch",American,Queens
245,Vegoist,4.0,2,11101,"New American, Bars, Vegan",American,Queens
246,Dirty Pierre's,4.0,2,11375,"Bars, Breakfast & Brunch, Sandwiches",American,Queens
247,Sanger Hall,4.0,2,11104,"Burgers, Cocktail Bars, Beer, Wine & Spirits",American,Queens
248,Fillmore's Tavern,4.0,2,11365,"Pubs, Burgers, Desserts",American,Queens
249,The Lowery Bar & Kitchen,4.5,2,11104,"New American, Cocktail Bars, Sports Bars",American,Queens
250,Halsey's,4.5,2,11102,"New American, Cocktail Bars",American,Queens
251,Uncle Peter's,4.0,2,11372,"Italian, Spanish, New American",American,Queens
252,Sanfords Astoria,4.0,2,11106,"Breakfast & Brunch, New American, Whiskey Bars",American,Queens
253,The Local Press,4.5,2,11417,"Salad, Burgers, Sandwiches",American,Queens
254,Sweet Spot,3.5,2,11105,"Sports Bars, Steakhouses, Cocktail Bars",American,Queens
255,The Weekender,4.5,1,11377,"Pool Halls, Himalayan/Nepalese, Bars",American,Queens
256,Da Andrea - Greenwich Village,4.5,2,10011,"Italian, Mediterranean, Breakfast & Brunch",American,Manhattan
257,Leaf Bar & Lounge,4.0,2,11354,"Lounges, Cocktail Bars, Venues & Event Spaces",American,Queens
258,Izakaya Nana,4.5,3,11354,Izakaya,Japanese,Queens
259,Izakaya Fuku,4.5,2,11372,Japanese,Japanese,Queens
260,Mito,4.0,2,11375,"Japanese, Sushi Bars, Asian Fusion",Japanese,Queens
261,Umi Sushi,4.5,2,11366,"Japanese, Sushi Bars",Japanese,Queens
262,Sake Kawa,4.5,3,11106,"Sushi Bars, Ramen",Japanese,Queens
263,Katsuno,4.0,3,11375,"Japanese, Sushi Bars",Japanese,Queens
264,Iki Modern Japanese Cuisine,4.0,3,11354,"Japanese, Sushi Bars",Japanese,Queens
265,That Place,5.0,0,11106,"Japanese, Sushi Bars",Japanese,Queens
266,Bamboo Ya,4.0,2,11375,"Sushi Bars, Japanese, Wine Bars",Japanese,Queens
267,Shogun Hibachi,4.0,2,11375,"Japanese, Sushi Bars",Japanese,Queens
268,Sushi On Me,5.0,0,11372,"Japanese, Sushi Bars, Speakeasies",Japanese,Queens
269,Kyuramen - Bayside,4.5,2,11361,"Ramen, Noodles",Japanese,Queens
270,Gyu-Kaku Japanese BBQ,4.5,2,11354,"Barbeque, Japanese, Asian Fusion",Japanese,Queens
271,Matsuri,4.5,2,11377,Japanese,Japanese,Queens
272,Hashi Ramen and Izakaya,4.0,2,11358,"Ramen, Sushi Bars",Japanese,Queens
273,Ooi Sushi and Bar,4.5,2,11101,"Sushi Bars, Bars, Japanese",Japanese,Queens
274,mochiron Izakaya,4.0,2,11103,"Izakaya, Ramen",Japanese,Queens
275,Torigo Japanese Restaurant,4.5,2,11001,"Japanese, Sushi Bars",Japanese,Queens
276,Koyo,4.5,0,11103,"Sushi Bars, Japanese",Japanese,Queens
277,Akino,4.0,3,11373,"Sushi Bars, Japanese",Japanese,Queens
278,Sushi Time,4.5,2,11375,"Sushi Bars, Japanese",Japanese,Queens
279,Tamashii Gold,4.0,2,11361,Ramen,Japanese,Queens
280,Tara Japanese Cuisine,4.0,3,11362,"Sushi Bars, Japanese, Seafood",Japanese,Queens
281,Suzuki Shokudo,4.5,2,11101,"Sushi Bars, Ramen",Japanese,Queens
282,Ariyoshi,3.5,2,11104,Japanese,Japanese,Queens
283,Nippon Cha,4.0,2,11361,Ramen,Japanese,Queens
284,Mito,3.5,2,11360,"Japanese, Sushi Bars, Bars",Japanese,Queens
285,Yoi Sushi Japanese,4.0,2,11354,"Sushi Bars, Ramen",Japanese,Queens
286,GAN-HOO BBQ,4.5,3,11354,"Barbeque, Chinese, Japanese",Japanese,Queens
287,Sakagura,4.0,0,10017,Japanese,Japanese,Manhattan
288,Beat Mazesoba,4.5,2,11358,"Ramen, Noodles, Beer Bar",Japanese,Queens
289,Izakaya MEW,4.5,2,10001,"Tapas Bars, Sushi Bars, Izakaya",Japanese,Manhattan
290,Sama Street,5.0,3,11222,"Cocktail Bars, Pan Asian, Tapas/Small Plates",Japanese,Brooklyn
291,Tamashii Red,4.0,2,11375,Ramen,Japanese,Queens
292,Hibino,4.0,2,11101,"Japanese, Sushi Bars",Japanese,Queens
293,Ruta Oaxaca Mexican Cuisine,4.5,3,11106,"Mexican, Breakfast & Brunch, Cocktail Bars",Mexican,Queens
294,Las Catrinas Mexican Bar & Eatery,4.0,2,11106,"Cocktail Bars, Tacos",Mexican,Queens
295,Don Tequila Urban Cantina,3.5,2,11385,"Mexican, Cocktail Bars",Mexican,Queens
296,El Mero Mero,4.5,2,11101,Mexican,Mexican,Queens
297,Mas Tortilla,4.5,2,11375,Mexican,Mexican,Queens
298,The Alcove,4.5,2,11104,"Gastropubs, Tapas Bars, Breakfast & Brunch",Mexican,Queens
299,Chela & Garnacha,4.5,2,11106,"Mexican, Wine Bars, Breakfast & Brunch",Mexican,Queens
300,Fresco's Cantina,4.5,2,11106,Mexican,Mexican,Queens
301,El Coyote - Forest Hills,3.0,2,11375,"Mexican, Cocktail Bars",Mexican,Queens
302,Taqueria Coatzingo,4.0,2,11372,Mexican,Mexican,Queens
303,La Tiendita Taqueria,4.0,2,11103,Tacos,Mexican,Queens
304,Casa Enrique,4.0,2,11101,Mexican,Mexican,Queens
305,Tacuba,4.0,2,11106,"Mexican, Latin American, Cocktail Bars",Mexican,Queens
306,5 Burro Cafe,3.5,2,11375,"Mexican, Cocktail Bars",Mexican,Queens
307,Tacombi,4.0,2,11375,Tacos,Mexican,Queens
308,Carla,4.5,2,11101,"New American, Burgers, Cocktail Bars",Mexican,Queens
309,Chihuahua,4.5,2,11104,Mexican,Mexican,Queens
